timestamp,rating_numerator,rating_denominator,name,stage,breed,favorite_count,retweet_count
2017-03-04 17:49:08,13,10,Daisy,,chow,,
2017-03-04 00:21:08,12,10,,pupper,golden_retriever,35413.0,8292.0
2017-03-03 01:14:41,12,10,Vincent,,Norwegian_elkhound,13249.0,2406.0
2017-03-02 18:17:34,13,10,Lucy,,American_Staffordshire_terrier,,
2017-03-02 01:20:01,13,10,Clark,pupper,Siberian_husky,16607.0,2523.0
2017-02-27 17:01:56,13,10,Lucy,,borzoi,,
2017-02-26 23:52:43,13,10,,,Samoyed,19815.0,4531.0
2017-02-25 19:37:50,11,10,Eli,,Staffordshire_bullterrier,,
2017-02-25 01:18:40,12,10,Ash,,Rottweiler,,
2017-02-24 17:01:22,12,10,,,Border_collie,27141.0,6082.0
2017-02-23 15:25:23,13,10,Tobi,,Border_terrier,22033.0,5835.0
2017-02-22 17:41:18,12,10,,,Rhodesian_ridgeback,9990.0,1781.0
2017-02-22 01:14:30,12,10,Wilson,,golden_retriever,21404.0,5070.0
2017-02-21 02:17:06,12,10,Bentley,,kuvasz,13944.0,2538.0
2017-02-20 23:50:09,13,10,Charlie,,Chihuahua,,
2017-02-20 17:00:04,13,10,Bronte,,West_Highland_white_terrier,,
2017-02-20 00:53:27,13,10,Poppy,,golden_retriever,15435.0,2186.0
2017-02-19 01:23:00,12,10,Gidget,pupper,Cardigan,21015.0,5130.0
2017-02-18 17:00:10,13,10,Rhino,doggo,boxer,,
2017-02-18 01:03:09,13,10,Willow,,Cardigan,17506.0,3843.0
2017-02-17 17:01:29,12,10,Orion,,Eskimo_dog,16470.0,2954.0
2017-02-17 01:13:34,12,10,Eevee,,Pekinese,12411.0,2359.0
2017-02-16 23:23:38,11,10,Charlie,,kelpie,,
2017-02-16 17:00:25,14,10,Smiley,doggo,Pembroke,11768.0,2477.0
2017-02-16 01:04:13,12,10,Miguel,doggo,whippet,,
2017-02-15 18:54:34,12,10,Emanuel,doggo,Pomeranian,,
2017-02-15 17:02:36,14,10,Kuyu,,bloodhound,,
2017-02-15 01:04:21,13,10,Daisy,,Pembroke,10894.0,1928.0
2017-02-14 23:43:18,13,10,,,Eskimo_dog,7481.0,2067.0
2017-02-14 17:17:22,13,10,Dutch,,Chihuahua,9350.0,2440.0
2017-02-14 02:02:51,12,10,Pete,doggo,Old_English_sheepdog,,
2017-02-14 01:35:49,13,10,,pupper,briard,6803.0,1190.0
2017-02-14 01:09:44,12,10,,,Doberman,,
2017-02-13 22:03:49,12,10,Tucker,,cocker_spaniel,,
2017-02-13 01:46:03,12,10,Reggie,,kuvasz,,
2017-02-12 01:04:29,13,10,Lilly,,Labrador_retriever,69714.0,17911.0
2017-02-10 01:15:49,12,10,Mia,,Border_terrier,12751.0,2086.0
2017-02-09 01:27:41,12,10,Leo,,French_bulldog,33090.0,11325.0
2017-02-08 22:00:52,11,10,,doggo,Labrador_retriever,10914.0,2150.0
2017-02-08 17:00:26,13,10,Astrid,doggo,Staffordshire_bullterrier,,
2017-02-08 01:35:19,12,10,Malcolm,,golden_retriever,25538.0,7894.0
2017-02-07 17:00:28,13,10,Dexter,,boxer,55326.0,17307.0
2017-02-06 17:02:17,14,10,,,golden_retriever,9906.0,1433.0
2017-02-06 01:03:14,12,10,Bear,,Weimaraner,,
2017-02-05 23:15:47,14,10,Doobert,doggo,Bedlington_terrier,,
2017-02-05 22:55:23,13,10,Beebop,,American_Staffordshire_terrier,,
2017-02-05 22:40:03,12,10,,,malamute,,
2017-02-04 22:45:42,11,10,,,American_Staffordshire_terrier,10814.0,2290.0
2017-02-04 17:34:40,12,10,Kona,pupper,German_shepherd,,
2017-02-03 23:04:02,12,10,Boots,,collie,,
2017-02-03 19:31:54,13,10,Tucker,,Pembroke,7726.0,1015.0
2017-02-03 01:16:53,12,10,Ralphie,,golden_retriever,16569.0,3263.0
2017-02-02 17:00:17,13,10,Charlie,,Great_Dane,,
2017-02-02 01:01:21,12,10,Loki,doggo,golden_retriever,,
2017-02-01 17:44:55,13,10,Cupid,doggo,Great_Pyrenees,38096.0,10925.0
2017-02-01 01:09:42,13,10,Pawnd,,French_bulldog,,
2017-01-31 17:06:32,12,10,Pilot,doggo,German_shepherd,,
2017-01-31 01:27:39,11,10,,,French_bulldog,13873.0,2769.0
2017-01-30 23:05:46,13,10,,doggo,Labrador_retriever,,
2017-01-29 22:15:05,12,10,Toby,,Great_Pyrenees,13312.0,2664.0
2017-01-29 02:44:34,14,10,,puppo,Rottweiler,54548.0,18415.0
2017-01-28 01:04:51,13,10,,,Pekinese,19159.0,4892.0
2017-01-27 17:04:02,12,10,Pablo,puppo,Eskimo_dog,6638.0,1367.0
